id,status,authenticated,latitude,longitude,event_type,event_cause,corridor,zone,veh_type,start_datetime,hour,weekday,weekday_name,month,month_name,is_peak_hour,priority,priority_high,requires_road_closure,closed_datetime,duration_minutes,duration_bucket,junction,police_station,has_cargo_data,has_truck_age,has_junction,is_authenticated,cargo_material,reason_breakdown,age_of_truck,address
FKID000013,closed,True,13.0418933,77.594705,unplanned,others,ORR North 1,North Zone 1,N/A,2023-12-26 19:15:28.124000+00:00,19,1,Tuesday,12,December,1,High,1,0,2024-03-07 19:10:20.402869+00:00,103674.87131448333,Slow,HebbalFlyoverJunc,Hebbala,0,0,1,1,,,,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)"
FKID000014,active,True,12.975285,77.6256902,unplanned,pot_holes,Old Madras Road,Unknown,N/A,2024-03-07 19:26:15.604000+00:00,19,3,Thursday,3,March,1,High,1,0,,,,unmapped,Halasur,0,0,0,1,,,,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)"
FKID000015,active,True,13.0633917,77.5933483,unplanned,others,Bellary Road 2,Unknown,N/A,2024-03-07 19:10:21.930000+00:00,19,3,Thursday,3,March,1,High,1,0,,,,unmapped,Kodigehalli,0,0,0,1,,,,"Bellary Road, Capitaland IT Park, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)"
FKID000016,active,True,13.063425,77.5933,unplanned,others,Bellary Road 2,Unknown,N/A,2024-03-07 19:11:15.565000+00:00,19,3,Thursday,3,March,1,High,1,0,,,,unmapped,Kodigehalli,0,0,0,1,,,,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)"
FKID000017,active,True,13.0254527,77.6417388,unplanned,others,ORR North 1,Unknown,N/A,2024-03-07 19:18:29.890000+00:00,19,3,Thursday,3,March,1,High,1,0,,,,unmapped,Hennuru,0,0,0,1,,,,"MBT Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)"
FKID000018,closed,True,12.9233517,77.5904883,unplanned,tree_fall,Non-corridor,Unknown,N/A,2024-03-07 19:39:29.764000+00:00,19,3,Thursday,3,March,1,Low,0,0,2024-03-08 00:32:50.464450+00:00,293.3450075,Medium,unmapped,Jayanagara,0,0,0,1,,,,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)"
FKID000019,closed,True,13.0001393,77.5840594,unplanned,vehicle_breakdown,Bellary Road 1,Unknown,ksrtc_bus,2024-01-30 04:49:17.231000+00:00,4,1,Tuesday,1,January,0,High,1,0,,,,unmapped,Sadashivanagar,0,0,0,1,,,,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)"
FKID000020,closed,True,12.9071221,77.6286395,unplanned,vehicle_breakdown,Hosur Road,Unknown,heavy_vehicle,2024-03-07 19:25:04.302000+00:00,19,3,Thursday,3,March,1,High,1,0,2024-03-07 19:52:19.227138+00:00,27.2487523,Fast,unmapped,Madiwala,0,0,0,1,,,,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)"
FKID000021,closed,True,12.927375,77.5806883,unplanned,tree_fall,Non-corridor,Unknown,N/A,2024-03-07 19:45:16.034000+00:00,19,3,Thursday,3,March,1,Low,0,1,2024-03-09 20:33:47.282786+00:00,2928.5208131000004,Slow,unmapped,Jayanagara,0,0,0,1,,,,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
FKID000022,closed,True,12.9169074,77.5950955,unplanned,pot_holes,Non-corridor,South Zone 1,N/A,2024-01-05 22:35:41.185000+00:00,22,4,Friday,1,January,0,Low,0,0,2024-03-07 19:48:05.331210+00:00,89112.40243683333,Slow,28thMainJayanagarJunc,Jayanagara,0,0,1,1,,,,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)"
FKID000023,active,True,12.9667047,77.6615983,unplanned,pot_holes,Non-corridor,Unknown,N/A,2024-01-30 08:32:47.117000+00:00,8,1,Tuesday,1,January,1,Low,0,0,,,,unmapped,Jeevanbheemanagar,0,0,0,1,,,,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)"
FKID000024,active,True,12.8966387,77.7202071,unplanned,water_logging,Non-corridor,Unknown,N/A,2024-03-07 19:55:24.461000+00:00,19,3,Thursday,3,March,1,Low,0,0,,,,unmapped,Whitefield,0,0,0,1,,,,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)"
FKID000025,closed,True,12.9463911,77.597326,unplanned,tree_fall,Non-corridor,Unknown,N/A,2024-03-07 06:09:19.361000+00:00,6,3,Thursday,3,March,1,Low,0,1,2024-03-07 20:12:38.802518+00:00,843.3240253,Medium,unmapped,Wilson Garden,0,0,0,1,,,,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)"
FKID000026,active,True,12.9856042,77.5977438,unplanned,pot_holes,Non-corridor,Unknown,N/A,2024-01-30 08:35:04.399000+00:00,8,1,Tuesday,1,January,1,High,1,0,,,,unmapped,Shivajinagar,0,0,0,1,,,,"Queens Road, HVS Apartment, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
FKID000027,closed,True,12.9077383,77.6005709,unplanned,vehicle_breakdown,Bannerghata Road,Unknown,bmtc_bus,2024-01-30 08:12:47.138000+00:00,8,1,Tuesday,1,January,1,High,1,0,,,,unmapped,Mico Layout,0,0,0,1,,,,"Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)"
FKID000028,closed,True,12.9635109,77.6642122,unplanned,pot_holes,Non-corridor,Unknown,N/A,2024-01-30 08:25:57.212000+00:00,8,1,Tuesday,1,January,1,Low,0,0,2024-01-30 08:35:01.998607+00:00,9.079776783333333,Fast,unmapped,HAL Old Airport,0,0,0,1,,,,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)"
FKID000029,active,True,12.9667073,77.6615616,unplanned,pot_holes,Non-corridor,Unknown,N/A,2024-01-30 08:31:37.367000+00:00,8,1,Tuesday,1,January,1,Low,0,0,,,,unmapped,Jeevanbheemanagar,0,0,0,1,,,,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)"
FKID000030,active,True,12.9666867,77.6616478,unplanned,pot_holes,Non-corridor,Unknown,N/A,2024-01-30 08:33:55.212000+00:00,8,1,Tuesday,1,January,1,Low,0,0,,,,unmapped,Jeevanbheemanagar,0,0,0,1,,,,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)"
FKID000031,closed,True,12.907814,77.6006561,unplanned,vehicle_breakdown,Bannerghata Road,Unknown,bmtc_bus,2024-01-30 08:08:05.581000+00:00,8,1,Tuesday,1,January,1,High,1,1,,,,unmapped,Mico Layout,0,0,0,1,,,,"Bannerghatta Main Road, Srinivas Industrial Estate, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)"
FKID000032,closed,True,12.8955737,77.5993711,unplanned,vehicle_breakdown,Bannerghata Road,Unknown,lcv,2024-01-30 05:43:18.534000+00:00,5,1,Tuesday,1,January,1,High,1,0,,,,unmapped,J.P. Nagar,0,0,0,1,,,,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)"
FKID000033,closed,True,12.92757,77.5832051,unplanned,tree_fall,Non-corridor,Unknown,N/A,2024-03-07 20:06:03.523000+00:00,20,3,Thursday,3,March,1,Low,0,0,2024-03-09 20:33:44.935343+00:00,2907.6902057166667,Slow,unmapped,Jayanagara,0,0,0,1,,,,"9th Main Road, Geeta Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
FKID000034,closed,True,13.044697,77.5828546,unplanned,congestion,ORR North 2,Unknown,N/A,2024-01-30 05:38:15.485000+00:00,5,1,Tuesday,1,January,1,High,1,0,,,,unmapped,Kodigehalli,0,0,0,1,,,,"Outer Ring Road, Abdul Patel Syed Layout, Bhoopasandra, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)"
FKID000035,active,True,12.9666885,77.6616396,unplanned,pot_holes,Non-corridor,Unknown,N/A,2024-01-30 08:35:57.672000+00:00,8,1,Tuesday,1,January,1,Low,0,0,,,,unmapped,Jeevanbheemanagar,0,0,0,1,,,,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)"
FKID000036,closed,True,12.9789228,77.5644032,unplanned,vehicle_breakdown,Magadi Road,Unknown,bmtc_bus,2024-03-07 20:17:50.952000+00:00,20,3,Thursday,3,March,1,High,1,0,,,,unmapped,Magadi Road,0,0,0,1,,,,"Magadi Road, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)"
FKID000037,closed,True,12.8636494,77.6725849,unplanned,accident,Non-corridor,Unknown,N/A,2024-01-30 03:52:59.126038+00:00,3,1,Tuesday,1,January,0,Low,0,0,,,,unmapped,Electronic City,0,0,0,1,,,,"Doddanagamangala Road, Sri Rajarajeshwari Nagar, Doddanagamangala, Bengaluru, Karnataka. Pin-560100 (India)"
FKID000038,closed,True,12.9219483,77.6002467,unplanned,vehicle_breakdown,Bannerghata Road,Unknown,heavy_vehicle,2024-01-30 15:15:10.139000+00:00,15,1,Tuesday,1,January,0,High,1,0,,,,unmapped,Mico Layout,0,0,0,1,,,,"Bannerghatta Main Road, Opulent Spire, Block 9, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)"
FKID000039,active,True,12.9666597,77.661556,unplanned,pot_holes,Non-corridor,Unknown,N/A,2024-01-30 08:37:16.322000+00:00,8,1,Tuesday,1,January,1,Low,0,0,,,,unmapped,Jeevanbheemanagar,0,0,0,1,,,,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)"
FKID000040,closed,True,12.946469,77.6986754,planned,construction,ORR East 1,Unknown,N/A,2024-01-30 11:31:12.848000+00:00,11,1,Tuesday,1,January,1,High,1,0,,,,unmapped,HAL Old Airport,0,0,0,1,,,,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)"
FKID000041,closed,True,12.9936273,77.5844677,unplanned,others,Bellary Road 1,Unknown,N/A,2024-03-07 20:20:31.140000+00:00,20,3,Thursday,3,March,1,High,1,1,2024-03-07 22:06:56.289070+00:00,106.41915116666668,Medium,unmapped,High ground,0,0,0,1,,,,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
FKID000042,closed,True,12.9465079,77.6986339,unplanned,vehicle_breakdown,ORR East 1,Unknown,bmtc_bus,2024-01-30 20:38:19.329000+00:00,20,1,Tuesday,1,January,1,High,1,0,,,,unmapped,HAL Old Airport,0,0,0,1,,,,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)"
FKID000043,closed,True,13.0467058,77.5036495,unplanned,vehicle_breakdown,Non-corridor,Unknown,lcv,2024-03-07 18:29:50.857000+00:00,18,3,Thursday,3,March,1,Low,0,0,,,,unmapped,Chikkabanavara,0,0,0,1,,,,"6th Main Road, The Edge, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)"
FKID000044,closed,True,13.0166142,77.5054464,unplanned,vehicle_breakdown,Non-corridor,West Zone 1,bmtc_bus,2023-12-28 06:06:26.375000+00:00,6,3,Thursday,12,December,1,Low,0,0,,,,Peenya14thCrossJunc,Peenya,0,0,1,1,,,,"14th Cross Road, Industrial Area Stage 3, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
FKID000045,closed,True,13.0085677,77.6131497,planned,construction,Non-corridor,Unknown,N/A,2024-01-30 21:21:10.303000+00:00,21,1,Tuesday,1,January,1,Low,0,1,,,,unmapped,K.G. Halli,0,0,0,1,,,,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)"
FKID000046,closed,True,13.0309717,77.5364661,unplanned,vehicle_breakdown,Tumkur Road,Unknown,lcv,2024-01-30 19:33:25.417000+00:00,19,1,Tuesday,1,January,1,High,1,0,,,,unmapped,Yeshwanthpura,0,0,0,1,,,,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)"
FKID000047,closed,True,13.0262806,77.5442344,unplanned,others,Tumkur Road,Unknown,N/A,2024-03-07 20:27:15.443000+00:00,20,3,Thursday,3,March,1,High,1,0,2024-03-07 22:40:47.232952+00:00,133.52983253333335,Medium,unmapped,Yeshwanthpura,0,0,0,1,,,,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)"
FKID000048,closed,True,12.9938639,77.5844374,unplanned,tree_fall,Bellary Road 1,Unknown,N/A,2024-03-07 20:41:41.999000+00:00,20,3,Thursday,3,March,1,High,1,0,2024-03-09 03:11:00.032388+00:00,1829.3005564666666,Slow,unmapped,High ground,0,0,0,1,,,,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
FKID000049,closed,True,12.9188682,77.6687736,unplanned,vehicle_breakdown,ORR East 1,Unknown,bmtc_bus,2024-01-30 21:27:52.454000+00:00,21,1,Tuesday,1,January,1,High,1,0,2024-01-30 22:23:24.957711+00:00,55.541728516666666,Fast,unmapped,Bellandur,0,0,0,1,,,,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)"
FKID000050,closed,True,12.9546127,77.6423399,unplanned,congestion,IRR(Thanisandra road),Unknown,N/A,2024-01-30 20:46:34.356000+00:00,20,1,Tuesday,1,January,1,High,1,0,,,,unmapped,Jeevanbheemanagar,0,0,0,1,,,,"Nagasandra Road, Serenity Layout, Domlur, Bengaluru, Karnataka. Pin-560071 (India)"
FKID000051,closed,True,12.936133,77.5187044,unplanned,vehicle_breakdown,Mysore Road,Unknown,lcv,2024-01-30 21:13:55.445000+00:00,21,1,Tuesday,1,January,1,High,1,0,,,,unmapped,Byatarayanapura,0,0,0,1,,,,"Sri Sri Sri Tiruchi Mahaswamiji Road, Rajarajeshwari Junction, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)"
FKID000052,closed,True,12.9694079,77.7006346,planned,construction,ORR East 2,Unknown,N/A,2024-01-30 20:56:01.732000+00:00,20,1,Tuesday,1,January,1,High,1,0,,,,unmapped,HAL Old Airport,0,0,0,1,,,,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)"
FKID000053,closed,True,12.9849833,77.5883633,unplanned,vehicle_breakdown,Bellary Road 1,Unknown,private_car,2024-01-30 21:47:40.463000+00:00,21,1,Tuesday,1,January,1,High,1,0,2024-01-30 22:57:00.255562+00:00,69.32987603333332,Fast,unmapped,High ground,0,0,0,1,,,,"Palace Road, Chalukya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
FKID000054,closed,True,13.0127301,77.5545135,unplanned,vehicle_breakdown,West of Chord Road,Unknown,truck,2024-03-07 20:42:57.607000+00:00,20,3,Thursday,3,March,1,High,1,0,,,,unmapped,Malleshwaram,1,1,0,1,goods,clutch plate problem,2021.0,"Chord Road, World Trade Centre, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
FKID000055,closed,True,12.9842019,77.7336286,unplanned,road_conditions,Non-corridor,Unknown,N/A,2024-01-30 21:54:56.083000+00:00,21,1,Tuesday,1,January,1,Low,0,0,2024-01-30 22:56:12.701247+00:00,61.27697078333333,Fast,unmapped,Whitefield,0,0,0,1,,,,"Pattandur Agrahara Road, Vertex Tech Park, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)"
FKID000056,closed,True,13.2644465,77.7187627,unplanned,vehicle_breakdown,Non-corridor,Unknown,heavy_vehicle,2024-01-30 19:36:33.702000+00:00,19,1,Tuesday,1,January,1,Low,0,1,,,,unmapped,Devanahalli Airport,0,0,0,1,,,,"Bangalore Bellary Road, Nitesh Long Land, Devanahalli, Karnataka. Pin-562110 (India)"
FKID000057,closed,True,12.9848257,77.7527586,unplanned,vehicle_breakdown,Non-corridor,Unknown,private_car,2024-01-30 22:06:02.276000+00:00,22,1,Tuesday,1,January,0,Low,0,0,2024-01-30 22:42:27.016248+00:00,36.41233746666667,Fast,unmapped,Mahadevapura,0,0,0,1,,,,"Whitefield Main Road, Prestige Park View, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)"
FKID000058,closed,True,12.9932986,77.5837571,unplanned,tree_fall,Bellary Road 1,Unknown,N/A,2024-03-07 20:51:39.532000+00:00,20,3,Thursday,3,March,1,High,1,0,2024-03-09 03:10:44.241252+00:00,1819.0784875333334,Slow,unmapped,High ground,0,0,0,1,,,,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
FKID000059,closed,True,12.9937523,77.5842482,unplanned,tree_fall,Bellary Road 1,Unknown,N/A,2024-03-07 20:47:40.640000+00:00,20,3,Thursday,3,March,1,High,1,0,2024-03-09 03:10:47.308123+00:00,1823.1111353833332,Slow,unmapped,High ground,0,0,0,1,,,,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
FKID000060,closed,True,12.9938868,77.5841876,unplanned,tree_fall,Bellary Road 1,Unknown,N/A,2024-03-07 20:45:19.752000+00:00,20,3,Thursday,3,March,1,High,1,0,2024-03-09 03:10:58.037069+00:00,1825.6380844833334,Slow,unmapped,High ground,0,0,0,1,,,,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
FKID000061,resolved,True,12.9368467,77.6928653,unplanned,vehicle_breakdown,ORR East 1,Unknown,private_car,2024-01-30 23:05:02.339000+00:00,23,1,Tuesday,1,January,0,High,1,0,,,,unmapped,HAL Old Airport,0,0,0,1,,,,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)"
FKID000062,closed,True,13.0126766,77.5581246,unplanned,tree_fall,Non-corridor,Unknown,N/A,2024-03-07 20:53:37.293000+00:00,20,3,Thursday,3,March,1,Low,0,1,2024-03-23 05:38:25.456414+00:00,22124.802723566667,Slow,unmapped,Malleshwaram,0,0,0,1,,,,"1st Cross Road, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
FKID000063,closed,True,12.9513113,77.4994888,unplanned,vehicle_breakdown,Non-corridor,Unknown,bmtc_bus,2024-01-30 23:12:23.123000+00:00,23,1,Tuesday,1,January,0,Low,0,0,2024-01-31 00:35:36.782614+00:00,83.22766023333334,Fast,unmapped,Jnanabharathi,0,0,0,1,,,,"Kengeri Main Road, Ullal Junction, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)"
FKID000064,closed,True,13.0160964,77.5068555,unplanned,vehicle_breakdown,Non-corridor,Unknown,bmtc_bus,2024-01-30 21:21:57.881000+00:00,21,1,Tuesday,1,January,1,Low,0,0,,,,unmapped,Peenya,0,0,0,1,,,,"14th Cross Road, Industrial Area Stage 2, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
FKID000065,active,True,12.9807501,77.6028238,unplanned,pot_holes,CBD 1,Unknown,N/A,2024-03-07 21:05:54.697000+00:00,21,3,Thursday,3,March,1,High,1,0,,,,unmapped,Shivajinagar,0,0,0,1,,,,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
FKID000066,closed,True,12.9165983,77.583705,unplanned,tree_fall,Non-corridor,Unknown,N/A,2024-03-07 20:58:06.297000+00:00,20,3,Thursday,3,March,1,Low,0,0,2024-03-08 02:19:20.587942+00:00,321.23818236666665,Medium,unmapped,J.P. Nagar,0,0,0,1,,,,"9th Main Road, Adarsh Palace Apartment, TMC Layout, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)"
FKID000067,active,True,13.0198619,77.6562235,unplanned,pot_holes,Non-corridor,Unknown,N/A,2024-01-31 01:04:36.275000+00:00,1,2,Wednesday,1,January,0,High,1,0,,,,unmapped,Hennuru,0,0,0,1,,,,"Horamavu Main Road, Another Sky by Living Walls, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)"
FKID000068,active,True,13.0191848,77.6555127,unplanned,pot_holes,ORR North 1,Unknown,N/A,2024-01-31 01:01:36.195000+00:00,1,2,Wednesday,1,January,0,High,1,0,,,,unmapped,Hennuru,0,0,0,1,,,,"MBT Road, Peddanna Reddy Layout, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)"
FKID000069,closed,True,12.9740913,77.5452252,unplanned,vehicle_breakdown,West of Chord Road,Unknown,bmtc_bus,2024-01-31 00:33:27.663000+00:00,0,2,Wednesday,1,January,0,High,1,0,2024-01-31 01:17:38.964363+00:00,44.18835605,Fast,unmapped,Vijayanagara,0,0,0,1,,,,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
FKID000070,closed,True,12.9740971,77.5449011,unplanned,vehicle_breakdown,West of Chord Road,Unknown,bmtc_bus,2024-01-31 00:36:02.277000+00:00,0,2,Wednesday,1,January,0,High,1,0,2024-01-31 01:17:50.142637+00:00,41.797760616666665,Fast,unmapped,Vijayanagara,0,0,0,1,,,,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
